Nome;Código
SA - BL B - 1º ANDAR - LAB. DE COMPÓSITOS E CARACTERIZAÇÃO DE POLÍMEROS - L101;SAB01L101
SA - BL A - TORRE 3 - 4º ANDAR - L404-3;SAAT304L404
SÃO BERNARDO DO CAMPO - AMBIENTES EXTERNOS - PORTARIAS;SBEXTP
SA - BL A - TORRE 1 - 7º ANDAR - S701-1;SAAT107S701
SB - BL ALPHA - TÉRREO - CENTRAL DE ATENDIMENTO AO ESTUDANTE - CAE;SBALPHA00SCAE
LAB. INTERDISCIPLINAR DE MANUFATURA - L001;SBOMEGA00L001
SA - BL L - TÉRREO - TELECOM - TL00;SAL00TL0
SA - BL B - TÉRREO - SALA DE CONTROLE REMOTA DO EXPERIMENTO CMS DO LHC;SAB00SMEZANINO - 2
SA - BL A - TORRE 3 - 5º ANDAR - LAB. CIÊNCIAS ÔMICAS E BIOINFORMÁTICA - L504-3;SAAT305L504
SB - BL GAMA - TÉRREO - RESTAURANTE UNIVERSITÁRIO;SBGAMA00RU
SA - BL B - 3º ANDAR - S302A;SAB03S302A
SA - BL L - 1º ANDAR - TELECOM - TL01;SAL01TL1
SA - BL B - 3º ANDAR - PIBID - S302B;SAB03S302B
SA - BL A - TORRE 2 - 6º ANDAR - S604-2 - CMCC;SAAT206SCMCC
SA - BL A - TORRE 3 - 6º ANDAR - S604-3;SAAT306S604
SB - BL TAU - 3º ANDAR - S301;SBTAU03S301
SA - BL A - TORRE 1 - 5º ANDAR - L506-1;SAAT105L506
SA - BL A - TORRE 1 - 7º ANDAR - S717-1;SAAT107S717
SA - BL A - TORRE 2 - 5º ANDAR - S544-2;SAAT205S544
SA - BL A - TORRE 3 - 6º ANDAR - S615-3;SAAT306S615
SA - BL A - TORRE 1 - 6º ANDAR - S609-1;SAAT106S609
SA - BL A - TORRE 3 - 6º ANDAR - S630-3;SAAT306S630
SA - BL L - 2º ANDAR - LABORATÓRIO DE CARACERIZAÇÃO DE MATERIAIS - L202;SAL02L202
SB - BL DELTA - 1º ANDAR - LABORATÓRIO DE NEUROGENÉTICA - L112;SBDELTA01L112
SA - BL L - 1º ANDAR - LAB. OTIMIZ., COMBINAT. E ALGORIT. - L106;SAL01L106
SB - BL DELTA - 3º ANDAR - S324;SBDELTA03S324
SB - BL DELTA - 3º ANDAR - S314;SBDELTA03S314
SB - BL ALPHA - 2º ANDAR - S204;SBALPHA02S204
SA - BL A - 1º ANDAR - SECRETARIA GERAL;SAA01SSG
SA - BL A - TÉRREO - CENTRAL DE CHAVES E VIGILÂNCIA (ADM0015);SAA00SVIGILANCIA
SB - BL BETA - TÉRREO - A003;SBBETA00A003
SA - BL A - TORRE 1 - 7º ANDAR - DIVISÃO ACADÊMICA DO CECS - R703-1;SAAT107R703
SA - BL A - TORRE 3 - 6º ANDAR - S612-3;SAAT306S612
SA - BL L - 3º ANDAR - PROPES;SAL03SPROPES
SA - BL A - TORRE 3 - 6º ANDAR - S617-3;SAAT306S617
SA - BL A - TORRE 2 - 5º ANDAR - S512-2;SAAT205S512
SB - BL ÔMEGA - TÉRREO - LABORATÓRIO DIDÁTICO SECO - L010;SBOMEGA00L010
SA - BL A - TORRE 2 - 5º ANDAR - S534-2;SAAT205S534
SB - BL ALPHA - 2º ANDAR - SALA DE ESTUDOS - E201;SBALPHA02SE201
SA - BL A - TORRE 3 - 3º ANDAR - S317-3;SAAT303S317
SA - BL A - TORRE 3 - 6º ANDAR - S619-3;SAAT306S619
SA - BL A - 1º ANDAR - AUDITORIA INTERNA;SAA01SAUDIN
SB - BL ZETA - 2º ANDAR - S211;SBZETA02S211
SA - BL B - 2º ANDAR - LAB. DE QUIMICA E BIOQUIMICA;SAB02L203
SB - BL DELTA - 1º ANDAR - LAB. DE BIOLOGIA MOLECULAR E BIOQUIMICA;SBDELTA01LL107
SB - BL DELTA - 1º ANDAR - LAB. DE MORFOFISIOLOGIA EXPERIMENTAL;SBDELTA01LL104
SB - BL DELTA - 1º ANDAR - LAB. DE SISTEMAS BIOLOGICOS E GENOMICA;SBDELTA01LL106
SB - BL DELTA - 1º ANDAR - LAB. DE EVOLUÇÃO E DIVERSIDADE III - L103;SBDELTA01LL103
